003145880 to 571083522 (777 seconds)
Jose Melo to Tomas Pereira (886 seconds)
Jose Nunes to Luis Alberto (771 seconds)
Jose Nunes to Luis Oliveira (600 seconds)
Jose Nunes to Mariana Alberto (340 seconds)
Jose Nunes to Mario Alberto (448 seconds)
Jose Nunes to Mario Nunes (518 seconds)
Jose Nunes to Mario Tavares (243 seconds)
Jose Nunes to Paula Oliveira (132 seconds)
Jose Nunes to Paula Oliveira (311 seconds)
Jose Nunes to Pedro Teixeira (377 seconds)
Jose Nunes to Rui Nunes (528 seconds)
Jose Nunes to Rui Pacheco (507 seconds)
Jose Nunes to Tomas Pereira (876 seconds)
Jose Oliveira to 809911744 (191 seconds)
Jose Oliveira to Ana Silva (73 seconds)
Jose Oliveira to Joao Alberto (58 seconds)
Jose Oliveira to Joao Nunes (888 seconds)
Jose Oliveira to Luis Pacheco (590 seconds)
Jose Oliveira to Luisa Nunes (294 seconds)
Jose Oliveira to Maria Oliveira (187 seconds)
Jose Oliveira to Maria Pereira (426 seconds)
Jose Oliveira to Maria Pereira (864 seconds)
Jose Oliveira to Miguel Silva (75 seconds)
Jose Oliveira to Pedro Silva (652 seconds)
Jose Oliveira to Tomas Pereira (900 seconds)
Jose Pacheco to 125670439 (162 seconds)
Jose Pacheco to 181129674 (846 seconds)
Jose Pacheco to 902893333 (811 seconds)
Jose Pacheco to Antonio Melo (879 seconds)
Jose Pacheco to Dinis Oliveira (874 seconds)
Jose Pacheco to Joao Pereira (45 seconds)
Jose Pacheco to Jose Tavares (872 seconds)
Jose Pacheco to Mario Silva (375 seconds)
Jose Pacheco to Sergio Silva (830 seconds)
Jose Pacheco to Tiago Pacheco (386 seconds)
Jose Pacheco to Tomas Nunes (387 seconds)
Jose Pacheco to Tomas Nunes (465 seconds)
Jose Pereira to 692162005 (787 seconds)
Jose Pereira to Dinis Oliveira (598 seconds)
Jose Pereira to Joao Pereira (873 seconds)
Jose Pereira to Luis Oliveira (69 seconds)
Jose Pereira to Luis Teixeira (134 seconds)
Jose Pereira to Mariana Melo (657 seconds)
Jose Pereira to Mario Alberto (644 seconds)
Jose Pereira to Mario Oliveira (503 seconds)
Jose Pereira to Pedro Nunes (833 seconds)
Jose Pereira to Rui Tavares (637 seconds)
Jose Pereira to Tiago Nunes (371 seconds)
Jose Pereira to Tiago Pereira (543 seconds)
Jose Pereira to Tomas Nunes (667 seconds)
Jose Silva to 231067961 (527 seconds)
Jose Silva to Ana Alberto (407 seconds)
Jose Silva to Ana Pereira (228 seconds)
Jose Silva to Antonio Melo (527 seconds)
Jose Silva to Joao Nunes (808 seconds)
Jose Silva to Jose Silva (508 seconds)
Jose Silva to Luis Alberto (94 seconds)
Jose Silva to Maria Nunes (369 seconds)
Jose Silva to Maria Oliveira (54 seconds)
Jose Silva to Maria Oliveira (813 seconds)
Jose Silva to Mariana Melo (412 seconds)
Jose Silva to Mario Melo (202 seconds)
Jose Silva to Mario Pereira (738 seconds)
Jose Silva to Paula Alberto (385 seconds)
Jose Silva to Paula Silva (769 seconds)
Jose Silva to Paulo Melo (776 seconds)
Jose Silva to Pedro Pacheco (34 seconds)
Jose Silva to Pedro Teixeira (869 seconds)
Jose Silva to Tiago Nunes (820 seconds)
Jose Silva to Tiago Pacheco (336 seconds)
Jose Silva to Tomas Pereira (592 seconds)
Jose Tavares to 212319094 (626 seconds)
Jose Tavares to 587246220 (47 seconds)
Jose Tavares to Dinis Tavares (603 seconds)
Jose Tavares to Joao Alberto (201 seconds)
Jose Tavares to Joao Tavares (52 seconds)
Jose Tavares to Jose Silva (804 seconds)
Jose Tavares to Maria Pacheco (63 seconds)
Jose Tavares to Paula Nunes (437 seconds)
Jose Tavares to Pedro Tavares (63 seconds)
Jose Tavares to Rui Oliveira (751 seconds)
Jose Tavares to Rui Tavares (485 seconds)
Jose Tavares to Tiago Nunes (559 seconds)
Jose Tavares to Tomas Nunes (206 seconds)
Jose Teixeira to 188390425 (350 seconds)
Jose Teixeira to 257898750 (148 seconds)
Jose Teixeira to 799751257 (308 seconds)
Jose Teixeira to 836488130 (209 seconds)
Jose Teixeira to 878324174 (430 seconds)
Jose Teixeira to Antonio Pacheco (31 seconds)
Jose Teixeira to Antonio Pereira (130 seconds)
Jose Teixeira to Jose Nunes (79 seconds)
Jose Teixeira to Jose Pacheco (255 seconds)
Jose Teixeira to Luis Nunes (250 seconds)
Jose Teixeira to Mariana Tavares (640 seconds)
Jose Teixeira to Mario Tavares (246 seconds)
Jose Teixeira to Pedro Tavares (490 seconds)
Luis Alberto to 657935430 (11 seconds)
Luis Alberto to 972350099 (497 seconds)
Luis Alberto to Ana Pacheco (797 seconds)
Luis Alberto to Antonio Nunes (730 seconds)
Luis Alberto to Antonio Oliveira (798 seconds)
Luis Alberto to Joao Alberto (644 seconds)
Luis Alberto to Jose Silva (468 seconds)
Luis Alberto to Luisa Pacheco (520 seconds)
Luis Alberto to Luisa Tavares (826 seconds)
Luis Alberto to Maria Oliveira (685 seconds)
Luis Alberto to Maria Tavares (299 seconds)
Luis Alberto to Miguel Tavares (493 seconds)
Luis Alberto to Paulo Melo (415 seconds)
Luis Alberto to Pedro Silva (717 seconds)
Luis Alberto to Sergio Melo (102 seconds)
Luis Melo to 564530142 (356 seconds)
Luis Melo to Ana Oliveira (336 seconds)
Luis Melo to Joao Silva (808 seconds)
Luis Melo to Luisa Tavares (396 seconds)
Luis Melo to Miguel Alberto (642 seconds)
Luis Melo to Paulo Oliveira (747 seconds)
Luis Melo to Pedro Pereira (614 seconds)
Luis Melo to Rui Silva (25 seconds)
Luis Nunes to 558988614 (836 seconds)
Luis Nunes to Antonio Melo (215 seconds)
Luis Nunes to Jose Melo (883 seconds)
Luis Nunes to Luis Teixeira (151 seconds)
Luis Nunes to Luisa Silva (171 seconds)
Luis Nunes to Paulo Alberto (80 seconds)
Luis Nunes to Paulo Teixeira (468 seconds)
Luis Nunes to Pedro Pacheco (648 seconds)
Luis Nunes to Rui Tavares (773 seconds)
Luis Nunes to Tiago Pacheco (377 seconds)
Luis Nunes to Tiago Pereira (815 seconds)
Luis Nunes to Tomas Nunes (710 seconds)
Luis Oliveira to 492189597 (558 seconds)
Luis Oliveira to 601471879 (234 seconds)
Luis Oliveira to 732878977 (269 seconds)
Luis Oliveira to Ana Teixeira (136 seconds)
Luis Oliveira to Antonio Teixeira (428 seconds)
Luis Oliveira to Dinis Oliveira (817 seconds)
Luis Oliveira to Jose Pacheco (813 seconds)
Luis Oliveira to Luisa Pacheco (749 seconds)
Luis Oliveira to Maria Alberto (841 seconds)
Luis Oliveira to Mariana Melo (398 seconds)
Luis Oliveira to Paula Alberto (376 seconds)
Luis Oliveira to Paulo Pereira (437 seconds)
Luis Oliveira to Rui Tavares (799 seconds)
Luis Oliveira to Tiago Silva (670 seconds)
Luis Oliveira to Tomas Pacheco (669 seconds)
Luis Oliveira to Tomas Teixeira (768 seconds)
Luis Pacheco to Dinis Oliveira (715 seconds)
Luis Pacheco to Luisa Nunes (497 seconds)
Luis Pacheco to Sergio Pacheco (598 seconds)
Luis Pereira to Ana Pacheco (454 seconds)
Luis Pereira to Mariana Alberto (473 seconds)
Luis Pereira to Mariana Nunes (710 seconds)
Luis Pereira to Paula Oliveira (202 seconds)
Luis Silva to 253371612 (684 seconds)
Luis Silva to Dinis Melo (576 seconds)
Luis Silva to Mario Teixeira (115 seconds)
Luis Silva to Paulo Pereira (475 seconds)
Luis Silva to Sergio Oliveira (684 seconds)
Luis Silva to Sergio Pacheco (562 seconds)
Luis Silva to Tiago Pacheco (146 seconds)
Luis Tavares to 730849419 (827 seconds)
Luis Tavares to Maria Oliveira (342 seconds)
Luis Teixeira to Dinis Oliveira (372 seconds)
Luis Teixeira to Dinis Pacheco (40 seconds)
Luis Teixeira to Joao Nunes (605 seconds)
Luis Teixeira to Joao Nunes (98 seconds)
Luis Teixeira to Joao Pacheco (602 seconds)
Luis Teixeira to Jose Silva (554 seconds)
Luis Teixeira to Maria Oliveira (494 seconds)
Luis Teixeira to Miguel Silva (13 seconds)
Luis Teixeira to Paula Alberto (567 seconds)
Luis Teixeira to Paula Silva (594 seconds)
Luis Teixeira to Paulo Nunes (453 seconds)
Luis Teixeira to Paulo Nunes (489 seconds)
Luis Teixeira to Pedro Pereira (730 seconds)
Luis Teixeira to Pedro Teixeira (201 seconds)
Luis Teixeira to Pedro Teixeira (254 seconds)
Luis Teixeira to Sergio Tavares (44 seconds)
Luis Teixeira to Tiago Pacheco (426 seconds)
Luis Teixeira to Tiago Pacheco (770 seconds)
Luisa Alberto to 102814749 (399 seconds)
Luisa Alberto to 707559808 (890 seconds)
Luisa Alberto to 930646579 (574 seconds)
Luisa Alberto to Ana Teixeira (721 seconds)
Luisa Alberto to Antonio Nunes (811 seconds)
Luisa Alberto to Dinis Tavares (505 seconds)
Luisa Alberto to Dinis Teixeira (813 seconds)
Luisa Alberto to Joao Silva (418 seconds)
Luisa Alberto to Jose Pereira (413 seconds)
Luisa Alberto to Jose Silva (421 seconds)
Luisa Alberto to Luisa Teixeira (424 seconds)
Luisa Alberto to Maria Oliveira (534 seconds)
Luisa Alberto to Miguel Pacheco (300 seconds)
Luisa Alberto to Rui Teixeira (458 seconds)
Luisa Alberto to Sergio Alberto (884 seconds)
Luisa Alberto to Sergio Pereira (86 seconds)
Luisa Melo to Dinis Silva (874 seconds)
Luisa Melo to Jose Oliveira (15 seconds)
Luisa Melo to Jose Silva (332 seconds)
Luisa Melo to Pedro Teixeira (288 seconds)
Luisa Melo to Tiago Alberto (344 seconds)
Luisa Nunes to 709867382 (98 seconds)
Luisa Nunes to 867256999 (543 seconds)
Luisa Nunes to Ana Nunes (225 seconds)
Luisa Nunes to Ana Oliveira (103 seconds)
Luisa Nunes to Joao Silva (209 seconds)
Luisa Nunes to Jose Tavares (602 seconds)
Luisa Nunes to Mario Melo (288 seconds)
Luisa Nunes to Paula Nunes (31 seconds)
Luisa Nunes to Pedro Melo (136 seconds)
Luisa Nunes to Pedro Pacheco (548 seconds)
Luisa Nunes to Pedro Silva (46 seconds)
Luisa Nunes to Rui Oliveira (76 seconds)
Luisa Nunes to Rui Teixeira (158 seconds)
Luisa Nunes to Sergio Alberto (661 seconds)
Luisa Oliveira to Luis Nunes (830 seconds)
Luisa Oliveira to Mario Tavares (89 seconds)
Luisa Oliveira to Tiago Alberto (166 seconds)
Luisa Oliveira to Tiago Silva (232 seconds)
Luisa Pacheco to 086905641 (240 seconds)
Luisa Pacheco to Antonio Tavares (830 seconds)
Luisa Pacheco to Luis Teixeira (165 seconds)
Luisa Pacheco to Maria Pereira (489 seconds)
Luisa Pacheco to Mario Melo (817 seconds)
Luisa Pacheco to Mario Pereira (362 seconds)
Luisa Pacheco to Mario Teixeira (423 seconds)
Luisa Pacheco to Miguel Alberto (732 seconds)
Luisa Pacheco to Rui Alberto (558 seconds)
Luisa Pereira to 657515005 (878 seconds)
Luisa Pereira to Antonio Pacheco (325 seconds)
Luisa Pereira to Maria Tavares (240 seconds)
Luisa Pereira to Mariana Alberto (872 seconds)
Luisa Pereira to Rui Alberto (455 seconds)
Luisa Silva to Dinis Nunes (135 seconds)
Luisa Silva to Joao Pacheco (587 seconds)
Luisa Silva to Joao Pereira (143 seconds)
Luisa Silva to Jose Melo (849 seconds)
Luisa Silva to Luis Tavares (580 seconds)
Luisa Silva to Luis Teixeira (548 seconds)
Luisa Silva to Maria Tavares (829 seconds)
Luisa Silva to Mario Oliveira (776 seconds)
Luisa Silva to Paulo Melo (195 seconds)
Luisa Silva to Rui Pacheco (176 seconds)
Luisa Silva to Rui Silva (486 seconds)
Luisa Silva to Rui Teixeira (251 seconds)
Luisa Silva to Tomas Pereira (292 seconds)
Luisa Tavares to Paulo Nunes (653 seconds)
Luisa Tavares to Tomas Oliveira (396 seconds)
Luisa Teixeira to 320182038 (208 seconds)
Luisa Teixeira to Antonio Oliveira (181 seconds)
Luisa Teixeira to Joao Teixeira (45 seconds)
Luisa Teixeira to Jose Nunes (671 seconds)
Luisa Teixeira to Jose Silva (253 seconds)
Luisa Teixeira to Miguel Pereira (685 seconds)
Luisa Teixeira to Pedro Alberto (800 seconds)
Luisa Teixeira to Pedro Pereira (797 seconds)
Luisa Teixeira to Pedro Tavares (762 seconds)
Luisa Teixeira to Sergio Melo (331 seconds)
Luisa Teixeira to Sergio Tavares (676 seconds)
Luisa Teixeira to Tiago Pacheco (54 seconds)
Luisa Teixeira to Tiago Tavares (640 seconds)
Maria Alberto to Ana Pacheco (815 seconds)
Maria Alberto to Dinis Melo (417 seconds)
Maria Alberto to Joao Oliveira (848 seconds)
Maria Alberto to Jose Pacheco (108 seconds)
Maria Alberto to Paula Alberto (731 seconds)
Maria Alberto to Paula Pacheco (333 seconds)
Maria Alberto to Rui Alberto (387 seconds)
Maria Alberto to Rui Pereira (740 seconds)
Maria Alberto to Tiago Tavares (410 seconds)
Maria Melo to 179417983 (173 seconds)
Maria Melo to Jose Alberto (75 seconds)
Maria Melo to Jose Pereira (175 seconds)
Maria Melo to Mariana Oliveira (575 seconds)
Maria Melo to Mario Melo (705 seconds)
Maria Melo to Miguel Oliveira (817 seconds)
Maria Melo to Rui Silva (364 seconds)
Maria Nunes to Joao Pacheco (262 seconds)
Maria Nunes to Mario Teixeira (733 seconds)
Maria Nunes to Paula Melo (286 seconds)
Maria Nunes to Paula Pereira (709 seconds)
Maria Nunes to Tiago Silva (847 seconds)
Maria Nunes to Tiago Teixeira (730 seconds)
Maria Oliveira to 588231940 (20 seconds)
Maria Oliveira to 883655993 (857 seconds)
Maria Oliveira to Ana Pacheco (353 seconds)
Maria Oliveira to Antonio Pereira (765 seconds)
Maria Oliveira to Dinis Alberto (115 seconds)
Maria Oliveira to Dinis Melo (103 seconds)
Maria Oliveira to Jose Alberto (699 seconds)
Maria Oliveira to Jose Teixeira (591 seconds)
Maria Oliveira to Luis Tavares (461 seconds)
Maria Oliveira to Mario Silva (751 seconds)
Maria Oliveira to Paulo Melo (210 seconds)
Maria Oliveira to Pedro Pereira (81 seconds)
Maria Oliveira to Sergio Melo (76 seconds)
Maria Oliveira to Sergio Silva (517 seconds)
Maria Oliveira to Tiago Pacheco (536 seconds)
Maria Oliveira to Tomas Oliveira (527 seconds)
Maria Pacheco to 720397690 (806 seconds)
Maria Pacheco to Ana Melo (426 seconds)
Maria Pacheco to Luis Tavares (573 seconds)
Maria Pacheco to Sergio Pereira (531 seconds)
Maria Pacheco to Tomas Pacheco (243 seconds)
Maria Pereira to 288979176 (330 seconds)
Maria Pereira to 348570951 (177 seconds)
Maria Pereira to Dinis Pacheco (351 seconds)
Maria Pereira to Luisa Alberto (233 seconds)
Maria Pereira to Miguel Pacheco (732 seconds)
Maria Pereira to Paulo Alberto (828 seconds)
Maria Pereira to Tomas Oliveira (18 seconds)
Maria Pereira to Tomas Pereira (673 seconds)
Maria Silva to Antonio Tavares (267 seconds)
Maria Silva to Dinis Pereira (854 seconds)
Maria Silva to Joao Pereira (793 seconds)
Maria Silva to Luis Oliveira (565 seconds)
Maria Silva to Mario Pereira (488 seconds)
Maria Silva to Tomas Nunes (733 seconds)
Maria Tavares to 477613269 (533 seconds)
Maria Tavares to Antonio Melo (367 seconds)
Maria Tavares to Antonio Nunes (24 seconds)
Maria Tavares to Dinis Alberto (573 seconds)
Maria Tavares to Dinis Pereira (715 seconds)
Maria Tavares to Joao Melo (134 seconds)
Maria Tavares to Joao Pereira (324 seconds)
Maria Tavares to Joao Silva (778 seconds)
Maria Tavares to Jose Melo (344 seconds)
Maria Tavares to Luis Oliveira (106 seconds)
Maria Tavares to Miguel Teixeira (148 seconds)
Maria Tavares to Paula Pacheco (619 seconds)
Maria Tavares to Paulo Alberto (431 seconds)
Maria Tavares to Paulo Silva (390 seconds)
Maria Tavares to Tiago Pacheco (302 seconds)
Maria Tavares to Tomas Tavares (710 seconds)
Maria Teixeira to Ana Oliveira (44 seconds)
Maria Teixeira to Ana Oliveira (804 seconds)
Maria Teixeira to Jose Silva (85 seconds)
Maria Teixeira to Luis Alberto (539 seconds)
Maria Teixeira to Luis Teixeira (672 seconds)
Maria Teixeira to Luisa Tavares (704 seconds)
Maria Teixeira to Mario Silva (632 seconds)
Maria Teixeira to Pedro Alberto (90 seconds)
Maria Teixeira to Pedro Nunes (506 seconds)
Maria Teixeira to Tomas Nunes (664 seconds)
Mariana Alberto to Joao Nunes (161 seconds)
Mariana Alberto to Joao Silva (371 seconds)
Mariana Alberto to Joao Teixeira (454 seconds)
Mariana Alberto to Jose Tavares (782 seconds)
Mariana Alberto to Luis Pereira (708 seconds)
Mariana Alberto to Paula Pereira (116 seconds)
Mariana Alberto to Paula Silva (697 seconds)
Mariana Alberto to Pedro Melo (486 seconds)
Mariana Alberto to Rui Silva (680 seconds)
Mariana Alberto to Tiago Pacheco (33 seconds)
Mariana Melo to 923901489 (517 seconds)
Mariana Melo to Ana Alberto (113 seconds)
Mariana Melo to Antonio Nunes (356 seconds)
Mariana Melo to Antonio Tavares (653 seconds)
Mariana Melo to Jose Tavares (793 seconds)
Mariana Melo to Luisa Alberto (374 seconds)
Mariana Melo to Maria Melo (354 seconds)
Mariana Melo to Mariana Teixeira (522 seconds)
Mariana Melo to Mario Melo (181 seconds)
Mariana Melo to Mario Teixeira (460 seconds)
Mariana Melo to Pedro Pacheco (268 seconds)
Mariana Melo to Rui Teixeira (355 seconds)
Mariana Melo to Sergio Melo (194 seconds)
Mariana Nunes to 488448182 (441 seconds)
Mariana Nunes to Joao Tavares (349 seconds)
Mariana Nunes to Joao Tavares (43 seconds)
Mariana Nunes to Jose Pereira (29 seconds)
Mariana Nunes to Luisa Pereira (446 seconds)
Mariana Nunes to Mariana Alberto (573 seconds)
Mariana Nunes to Mariana Pereira (236 seconds)
Mariana Nunes to Mario Melo (879 seconds)
Mariana Nunes to Pedro Oliveira (226 seconds)
Mariana Nunes to Pedro Tavares (744 seconds)
Mariana Nunes to Sergio Alberto (695 seconds)
Mariana Nunes to Sergio Pacheco (736 seconds)
Mariana Nunes to Tiago Oliveira (266 seconds)
Mariana Nunes to Tiago Tavares (848 seconds)
Mariana Oliveira to Joao Nunes (128 seconds)
Mariana Oliveira to Jose Oliveira (331 seconds)
Mariana Oliveira to Maria Alberto (597 seconds)
Mariana Oliveira to Paulo Pereira (62 seconds)
Mariana Oliveira to Pedro Tavares (394 seconds)
Mariana Pacheco to Antonio Nunes (30 seconds)
Mariana Pacheco to Antonio Nunes (592 seconds)
Mariana Pacheco to Dinis Teixeira (276 seconds)
Mariana Pacheco to Miguel Pereira (703 seconds)
Mariana Pacheco to Paulo Melo (177 seconds)
Mariana Pacheco to Paulo Pacheco (268 seconds)
Mariana Pacheco to Rui Alberto (438 seconds)
Mariana Pereira to 930060049 (402 seconds)
Mariana Pereira to Antonio Nunes (465 seconds)
Mariana Pereira to Maria Oliveira (152 seconds)
Mariana Pereira to Miguel Alberto (471 seconds)
Mariana Pereira to Miguel Tavares (871 seconds)
Mariana Pereira to Paula Pacheco (53 seconds)
Mariana Pereira to Paulo Nunes (837 seconds)
Mariana Pereira to Paulo Silva (398 seconds)
Mariana Pereira to Sergio Alberto (468 seconds)
Mariana Pereira to Tiago Silva (123 seconds)
Mariana Silva to Ana Melo (833 seconds)
Mariana Silva to Dinis Alberto (238 seconds)
Mariana Silva to Joao Tavares (702 seconds)
Mariana Silva to Jose Melo (492 seconds)
Mariana Silva to Luisa Pacheco (73 seconds)
Mariana Silva to Mariana Melo (734 seconds)
Mariana Silva to Paula Oliveira (303 seconds)
Mariana Silva to Pedro Alberto (244 seconds)
Mariana Silva to Pedro Silva (690 seconds)
Mariana Silva to Rui Alberto (36 seconds)
Mariana Silva to Rui Nunes (665 seconds)
Mariana Silva to Sergio Tavares (149 seconds)
Mariana Silva to Sergio Tavares (40 seconds)
Mariana Silva to Tomas Pacheco (813 seconds)
Mariana Tavares to 921372556 (859 seconds)
Mariana Tavares to Antonio Tavares (566 seconds)
Mariana Tavares to Mario Oliveira (628 seconds)
Mariana Tavares to Paula Alberto (543 seconds)
Mariana Tavares to Paulo Pereira (856 seconds)
Mariana Tavares to Rui Silva (231 seconds)
Mariana Teixeira to Dinis Alberto (204 seconds)
Mariana Teixeira to Dinis Teixeira (617 seconds)
Mariana Teixeira to Luis Tavares (765 seconds)
Mariana Teixeira to Mario Tavares (700 seconds)
Mariana Teixeira to Paulo Silva (475 seconds)
Mariana Teixeira to Pedro Silva (361 seconds)
Mario Alberto to 035922318 (728 seconds)
Mario Alberto to 072943461 (590 seconds)
Mario Alberto to 553320299 (666 seconds)
Mario Alberto to Antonio Oliveira (741 seconds)
Mario Alberto to Dinis Alberto (350 seconds)
Mario Alberto to Dinis Tavares (424 seconds)
Mario Alberto to Jose Silva (415 seconds)
Mario Alberto to Maria Alberto (54 seconds)
Mario Alberto to Maria Silva (762 seconds)
Mario Alberto to Pedro Teixeira (286 seconds)
Mario Alberto to Rui Oliveira (472 seconds)
Mario Alberto to Tiago Nunes (176 seconds)
Mario Melo to 726592508 (247 seconds)
Mario Melo to 936049337 (254 seconds)
Mario Melo to Antonio Oliveira (794 seconds)
Mario Melo to Dinis Alberto (387 seconds)
Mario Melo to Dinis Oliveira (328 seconds)
Mario Melo to Luis Alberto (596 seconds)
Mario Melo to Luis Melo (823 seconds)
Mario Melo to Luisa Pacheco (833 seconds)
Mario Melo to Maria Teixeira (403 seconds)
Mario Melo to Mariana Melo (234 seconds)
Mario Melo to Mario Alberto (742 seconds)
Mario Melo to Paula Alberto (801 seconds)
Mario Melo to Paula Pacheco (759 seconds)
Mario Melo to Pedro Silva (620 seconds)
Mario Melo to Rui Nunes (541 seconds)
Mario Melo to Tiago Teixeira (470 seconds)
Mario Nunes to 359289430 (181 seconds)
Mario Nunes to Ana Nunes (823 seconds)
Mario Nunes to Jose Alberto (103 seconds)
Mario Nunes to Mario Melo (200 seconds)
Mario Nunes to Paula Nunes (645 seconds)
Mario Nunes to Paulo Nunes (301 seconds)
Mario Nunes to Tiago Silva (88 seconds)
Mario Oliveira to Joao Tavares (60 seconds)
Mario Oliveira to Jose Oliveira (136 seconds)
Mario Oliveira to Mario Pereira (548 seconds)
Mario Oliveira to Pedro Pacheco (484 seconds)
Mario Oliveira to Rui Silva (400 seconds)
Mario Oliveira to Tiago Teixeira (121 seconds)
Mario Oliveira to Tomas Pereira (742 seconds)
Mario Pacheco to 114518661 (255 seconds)
Mario Pacheco to 718429386 (108 seconds)
Mario Pacheco to Ana Melo (654 seconds)
Mario Pacheco to Mario Nunes (771 seconds)
Mario Pacheco to Rui Oliveira (291 seconds)
Mario Pacheco to Rui Pereira (865 seconds)
Mario Pacheco to Tomas Silva (818 seconds)
Mario Pereira to 707016160 (24 seconds)
Mario Pereira to Ana Nunes (94 seconds)
Mario Pereira to Ana Oliveira (520 seconds)
Mario Pereira to Antonio Pacheco (329 seconds)
Mario Pereira to Dinis Teixeira (758 seconds)
Mario Pereira to Joao Alberto (386 seconds)
Mario Pereira to Jose Melo (647 seconds)
Mario Pereira to Luisa Pacheco (40 seconds)
Mario Pereira to Mariana Alberto (595 seconds)
Mario Pereira to Mario Pereira (540 seconds)
Mario Pereira to Mario Silva (375 seconds)
Mario Pereira to Mario Tavares (214 seconds)
Mario Pereira to Rui Nunes (161 seconds)
Mario Pereira to Rui Nunes (642 seconds)
Mario Pereira to Tiago Alberto (832 seconds)
Mario Silva to Joao Silva (445 seconds)
Mario Silva to Luisa Silva (666 seconds)
Mario Silva to Miguel Tavares (513 seconds)
Mario Silva to Sergio Silva (829 seconds)
Mario Silva to Tiago Nunes (552 seconds)
Mario Tavares to 118866926 (412 seconds)
Mario Tavares to 615612515 (553 seconds)
Mario Tavares to Ana Oliveira (220 seconds)
Mario Tavares to Antonio Nunes (380 seconds)
Mario Tavares to Joao Nunes (167 seconds)
Mario Tavares to Joao Silva (433 seconds)
Mario Tavares to Joao Teixeira (254 seconds)
Mario Tavares to Jose Nunes (851 seconds)
Mario Tavares to Luis Nunes (209 seconds)
Mario Tavares to Maria Nunes (177 seconds)
Mario Tavares to Mariana Teixeira (118 seconds)
Mario Tavares to Paula Melo (763 seconds)
Mario Tavares to Paula Silva (383 seconds)
Mario Tavares to Paulo Oliveira (679 seconds)
Mario Tavares to Paulo Silva (676 seconds)
Mario Tavares to Pedro Alberto (694 seconds)
Mario Tavares to Rui Pacheco (850 seconds)
Mario Tavares to Tiago Pereira (121 seconds)
Mario Tavares to Tiago Pereira (684 seconds)
Mario Tavares to Tomas Pereira (144 seconds)
Mario Teixeira to 236732661 (39 seconds)
Mario Teixeira to Ana Alberto (357 seconds)
Mario Teixeira to Dinis Oliveira (509 seconds)
Mario Teixeira to Dinis Teixeira (720 seconds)
Mario Teixeira to Jose Melo (456 seconds)
Mario Teixeira to Maria Alberto (847 seconds)
Mario Teixeira to Mario Melo (892 seconds)
Mario Teixeira to Mario Oliveira (306 seconds)
Mario Teixeira to Miguel Pacheco (66 seconds)
Mario Teixeira to Miguel Tavares (374 seconds)
Mario Teixeira to Paulo Silva (769 seconds)
Mario Teixeira to Pedro Tavares (170 seconds)
Mario Teixeira to Pedro Teixeira (609 seconds)
Mario Teixeira to Sergio Alberto (123 seconds)
Mario Teixeira to Tomas Melo (217 seconds)
Miguel Alberto to 224286252 (474 seconds)
Miguel Alberto to 506742185 (831 seconds)
Miguel Alberto to Ana Oliveira (700 seconds)
Miguel Alberto to Ana Pacheco (345 seconds)
Miguel Alberto to Joao Teixeira (67 seconds)
Miguel Alberto to Luisa Melo (26 seconds)
Miguel Alberto to Luisa Melo (444 seconds)
Miguel Alberto to Maria Nunes (136 seconds)
Miguel Alberto to Maria Pereira (693 seconds)
Miguel Alberto to Paula Alberto (569 seconds)
Miguel Alberto to Pedro Silva (633 seconds)
Miguel Melo to Joao Nunes (266 seconds)
Miguel Melo to Luisa Silva (603 seconds)
Miguel Melo to Mariana Tavares (150 seconds)
Miguel Melo to Rui Oliveira (875 seconds)
Miguel Melo to Rui Pereira (551 seconds)
Miguel Melo to Tiago Pacheco (353 seconds)
Miguel Nunes to Ana Silva (34 seconds)
Miguel Nunes to Antonio Nunes (328 seconds)
Miguel Nunes to Antonio Pacheco (618 seconds)
Miguel Nunes to Dinis Alberto (50 seconds)
Miguel Nunes to Dinis Nunes (842 seconds)
Miguel Nunes to Joao Tavares (651 seconds)
Miguel Nunes to Luis Oliveira (863 seconds)
Miguel Nunes to Luis Pacheco (258 seconds)
Miguel Nunes to Luisa Nunes (188 seconds)
Miguel Nunes to Luisa Silva (276 seconds)
Miguel Nunes to Maria Oliveira (376 seconds)
Miguel Oliveira to Ana Oliveira (845 seconds)
Miguel Oliveira to Luis Oliveira (22 seconds)
Miguel Oliveira to Pedro Pacheco (612 seconds)
Miguel Oliveira to Pedro Pacheco (694 seconds)
Miguel Oliveira to Sergio Melo (783 seconds)
Miguel Oliveira to Tomas Pereira (462 seconds)
Miguel Pacheco to 034710753 (124 seconds)
Miguel Pacheco to Ana Teixeira (856 seconds)
Miguel Pacheco to Luis Alberto (705 seconds)
Miguel Pacheco to Luis Pereira (837 seconds)
Miguel Pacheco to Miguel Nunes (536 seconds)
Miguel Pacheco to Paula Silva (83 seconds)
Miguel Pacheco to Tiago Tavares (787 seconds)
Miguel Pereira to 121919920 (839 seconds)
Miguel Pereira to Ana Melo (605 seconds)
Miguel Pereira to Antonio Tavares (721 seconds)
Miguel Pereira to Dinis Oliveira (331 seconds)
Miguel Pereira to Dinis Silva (306 seconds)
Miguel Pereira to Jose Oliveira (344 seconds)
Miguel Pereira to Jose Pereira (468 seconds)
Miguel Pereira to Luis Pacheco (556 seconds)
Miguel Pereira to Luisa Alberto (471 seconds)
Miguel Pereira to Mariana Nunes (331 seconds)
